Item,Série,Quantité,Prix Achat,Prix Actuel,Gain Théorique
upc,Sulfura Ex de la Team Rocket,1,"170,00","222,96","52,96"
etb,Flammes Fantasmagoriques,1,"55,00","94,65","39,65"
mini_tin,Evolutions Prismatiques (Nymphali),1,"11,99","19,83","7,84"
mini_tin,Evolutions Prismatiques (Voltali),1,"11,99","20,83","8,84"
mini_tin,Evolutions Prismatiques (Pyroli),1,"11,99","17,99","6,00"
mini_tin,Evolutions Prismatiques (Phyllali),1,"11,99","26,96","14,97"
mini_tin,Evolutions Prismatiques (Mentali),1,"11,99","21,50","9,51"
mini_tin,Evolutions Prismatiques (Givrali),1,"11,99","18,48","6,49"
mini_tin,Evolutions Prismatiques (Aquali),1,"11,99","18,00","6,01"
mini_tin,Evolutions Prismatiques (Noctali),1,"11,99","22,73","10,74"
tripack,Evolutions Prismatiques (Phyllali),1,"19,00","31,00","12,00"
tripack,Evolutions Prismatiques (Givrali),1,"19,00","31,33","12,33"
coffret,Dracaufeu Ex Speciale,1,"60,00","42,92","-17,08"
coffret,Zenith Supreme (Pikachu Vmax),2,"127,20","257,63","130,43"
etb,Rivalites Destinees,3,"294,00","464,50","170,50"
mini_tin,151 (Ramoloss),1,"26,40","42,66","16,26"
mini_tin,151 (Elektek),1,"23,20","42,08","18,88"
upc,Evolutions Prismatiques,1,"129,60","194,65","65,05"
tripack,Evolutions Prismatiques (Nymphali),1,"20,80","31,23","10,43"
etb,Heros Transcendants,10,"800,00","1111,65","311,65"
bundle,Evolutions Prismatiques,2,"76,80","133,83","57,03"
coffret,Eaux Florissantes Premium,1,"151,20","238,17","86,97"
etb,Evolutions Prismatiques,1,"76,00","106,50","30,50"
etb,Etincelles Deferlantes,1,"77,60","118,00","40,40"
coffret,Evolutions Prismatiques (Figurine Collection),2,"181,60","305,33","123,73"
mini_tin,Pouvoir de Kanto 2025 (Mew et Psykokwak),1,"16,00","17,67","1,67"
mini_tin,Pouvoir de Kanto 2025 (Mewtwo),1,"16,00","15,67","-0,33"
mini_tin,Pouvoir de Kanto 2025 (Pikachu et Goupix),1,"16,00","17,33","1,33"
mini_tin,Pouvoir de Kanto 2025 (Dracaufeu),1,"16,00","17,83","1,83"
mini_tin,Pouvoir de Kanto 2025 (Dracolosse),1,"16,00","18,47","2,47"
etb,Aventures Ensemble,1,"56,00","90,01","34,01"
